path,label,mean_lum,std_lum
data\synthetic_frames\good_00036.jpg,Good,131.79,28.56
data\synthetic_frames\poor_00036.jpg,Poor,29.66,6.54
data\synthetic_frames\mixed_00036.jpg,Mixed,64.21,14.37
data\synthetic_frames\good_00037.jpg,Good,131.77,28.54
data\synthetic_frames\poor_00037.jpg,Poor,14.67,10.88
data\synthetic_frames\mixed_00037.jpg,Mixed,83.87,18.29
data\synthetic_frames\good_00038.jpg,Good,131.73,28.55
data\synthetic_frames\poor_00038.jpg,Poor,22.12,4.91
data\synthetic_frames\mixed_00038.jpg,Mixed,68.29,14.67
data\synthetic_frames\good_00039.jpg,Good,131.74,28.55
data\synthetic_frames\poor_00039.jpg,Poor,16.05,10.95
data\synthetic_frames\mixed_00039.jpg,Mixed,70.14,15.06
data\synthetic_frames\good_00040.jpg,Good,131.72,28.54
data\synthetic_frames\poor_00040.jpg,Poor,15.66,14.25
data\synthetic_frames\mixed_00040.jpg,Mixed,68.58,14.99
data\synthetic_frames\good_00041.jpg,Good,131.71,28.54
data\synthetic_frames\poor_00041.jpg,Poor,40.5,8.89
data\synthetic_frames\mixed_00041.jpg,Mixed,83.86,18.74
data\synthetic_frames\good_00042.jpg,Good,131.69,28.54
data\synthetic_frames\poor_00042.jpg,Poor,29.72,6.55
data\synthetic_frames\mixed_00042.jpg,Mixed,72.48,15.56
data\synthetic_frames\good_00043.jpg,Good,131.72,28.6
data\synthetic_frames\poor_00043.jpg,Poor,38.02,8.37
data\synthetic_frames\mixed_00043.jpg,Mixed,86.46,19.35
data\synthetic_frames\good_00044.jpg,Good,131.78,28.58
data\synthetic_frames\poor_00044.jpg,Poor,20.82,4.62
data\synthetic_frames\mixed_00044.jpg,Mixed,76.71,17.17
data\synthetic_frames\good_00045.jpg,Good,131.7,28.58
data\synthetic_frames\poor_00045.jpg,Poor,33.82,7.46
data\synthetic_frames\mixed_00045.jpg,Mixed,64.04,13.78
data\synthetic_frames\good_00046.jpg,Good,131.68,28.57
data\synthetic_frames\poor_00046.jpg,Poor,23.37,5.2
data\synthetic_frames\mixed_00046.jpg,Mixed,80.4,17.57
data\synthetic_frames\good_00047.jpg,Good,131.76,28.59
data\synthetic_frames\poor_00047.jpg,Poor,23.21,16.71
data\synthetic_frames\mixed_00047.jpg,Mixed,89.89,20.1
data\synthetic_frames\good_00048.jpg,Good,131.73,28.57
data\synthetic_frames\poor_00048.jpg,Poor,24.24,5.36
data\synthetic_frames\mixed_00048.jpg,Mixed,60.5,13.02
data\synthetic_frames\good_00049.jpg,Good,131.68,28.59
data\synthetic_frames\poor_00049.jpg,Poor,21.04,4.68
data\synthetic_frames\mixed_00049.jpg,Mixed,85.04,19.04
data\synthetic_frames\good_00050.jpg,Good,131.73,28.6
data\synthetic_frames\poor_00050.jpg,Poor,14.23,8.41
data\synthetic_frames\mixed_00050.jpg,Mixed,89.2,19.49
data\synthetic_frames\good_00051.jpg,Good,131.76,28.61
data\synthetic_frames\poor_00051.jpg,Poor,27.0,17.77
data\synthetic_frames\mixed_00051.jpg,Mixed,69.18,15.52
data\synthetic_frames\good_00052.jpg,Good,131.7,28.64
data\synthetic_frames\poor_00052.jpg,Poor,29.61,6.55
data\synthetic_frames\mixed_00052.jpg,Mixed,89.84,20.13
data\synthetic_frames\good_00053.jpg,Good,131.7,28.62
data\synthetic_frames\poor_00053.jpg,Poor,18.97,12.2
data\synthetic_frames\mixed_00053.jpg,Mixed,65.13,14.61
data\synthetic_frames\good_00054.jpg,Good,131.69,28.64
data\synthetic_frames\poor_00054.jpg,Poor,23.5,5.23
data\synthetic_frames\mixed_00054.jpg,Mixed,80.75,17.69
data\synthetic_frames\good_00055.jpg,Good,131.73,28.64
data\synthetic_frames\poor_00055.jpg,Poor,45.24,9.95
data\synthetic_frames\mixed_00055.jpg,Mixed,77.72,17.43
data\synthetic_frames\good_00056.jpg,Good,131.7,28.63
data\synthetic_frames\poor_00056.jpg,Poor,32.16,7.1
data\synthetic_frames\mixed_00056.jpg,Mixed,87.91,18.91
data\synthetic_frames\good_00057.jpg,Good,131.7,28.63
data\synthetic_frames\poor_00057.jpg,Poor,25.04,5.54
data\synthetic_frames\mixed_00057.jpg,Mixed,75.39,16.22
data\synthetic_frames\good_00058.jpg,Good,131.73,28.69
data\synthetic_frames\poor_00058.jpg,Poor,40.44,8.92
data\synthetic_frames\mixed_00058.jpg,Mixed,87.31,18.81
data\synthetic_frames\good_00059.jpg,Good,131.71,28.67
data\synthetic_frames\poor_00059.jpg,Poor,24.98,17.14
data\synthetic_frames\mixed_00059.jpg,Mixed,61.25,13.22
data\synthetic_frames\good_00060.jpg,Good,131.69,28.65
data\synthetic_frames\poor_00060.jpg,Poor,26.2,18.28
data\synthetic_frames\mixed_00060.jpg,Mixed,70.2,15.13
data\synthetic_frames\good_00061.jpg,Good,131.72,28.69
data\synthetic_frames\poor_00061.jpg,Poor,33.75,7.47
data\synthetic_frames\mixed_00061.jpg,Mixed,80.54,17.37
data\synthetic_frames\good_00062.jpg,Good,131.76,28.68
data\synthetic_frames\poor_00062.jpg,Poor,30.88,6.84
data\synthetic_frames\mixed_00062.jpg,Mixed,74.99,16.16
data\synthetic_frames\good_00063.jpg,Good,131.75,28.65
data\synthetic_frames\poor_00063.jpg,Poor,22.02,4.9
data\synthetic_frames\mixed_00063.jpg,Mixed,78.01,17.5
data\synthetic_frames\good_00064.jpg,Good,131.71,28.69
data\synthetic_frames\poor_00064.jpg,Poor,41.32,9.11
data\synthetic_frames\mixed_00064.jpg,Mixed,78.69,17.67
data\synthetic_frames\good_00065.jpg,Good,131.74,28.68
data\synthetic_frames\poor_00065.jpg,Poor,32.51,7.17
data\synthetic_frames\mixed_00065.jpg,Mixed,88.86,19.14
data\synthetic_frames\good_00066.jpg,Good,131.82,28.69
data\synthetic_frames\poor_00066.jpg,Poor,34.07,7.54
data\synthetic_frames\mixed_00066.jpg,Mixed,60.02,12.97
data\synthetic_frames\good_00067.jpg,Good,131.77,28.65
data\synthetic_frames\poor_00067.jpg,Poor,36.07,7.96
data\synthetic_frames\mixed_00067.jpg,Mixed,71.18,15.59
data\synthetic_frames\good_00068.jpg,Good,131.75,28.67
data\synthetic_frames\poor_00068.jpg,Poor,23.52,5.24
data\synthetic_frames\mixed_00068.jpg,Mixed,76.46,16.77
data\synthetic_frames\good_00069.jpg,Good,131.78,28.7
data\synthetic_frames\poor_00069.jpg,Poor,24.88,5.52
data\synthetic_frames\mixed_00069.jpg,Mixed,70.66,15.52
data\synthetic_frames\good_00070.jpg,Good,131.81,28.72
data\synthetic_frames\poor_00070.jpg,Poor,21.88,17.49
data\synthetic_frames\mixed_00070.jpg,Mixed,77.54,16.73
data\synthetic_frames\good_00071.jpg,Good,131.78,28.7
data\synthetic_frames\poor_00071.jpg,Poor,42.17,9.3
data\synthetic_frames\mixed_00071.jpg,Mixed,66.57,15.0
data\synthetic_frames\good_00072.jpg,Good,131.77,28.69
data\synthetic_frames\poor_00072.jpg,Poor,21.68,12.86
data\synthetic_frames\mixed_00072.jpg,Mixed,85.72,18.47
data\synthetic_frames\good_00073.jpg,Good,131.84,28.66
data\synthetic_frames\poor_00073.jpg,Poor,37.34,8.23
data\synthetic_frames\mixed_00073.jpg,Mixed,82.11,17.66
data\synthetic_frames\good_00074.jpg,Good,131.98,28.6
data\synthetic_frames\poor_00074.jpg,Poor,22.79,5.07
data\synthetic_frames\mixed_00074.jpg,Mixed,69.48,14.92
data\synthetic_frames\good_00075.jpg,Good,132.04,28.47
data\synthetic_frames\poor_00075.jpg,Poor,19.94,17.05
data\synthetic_frames\mixed_00075.jpg,Mixed,88.89,18.95
data\synthetic_frames\good_00076.jpg,Good,131.92,28.54
data\synthetic_frames\poor_00076.jpg,Poor,31.51,6.95
data\synthetic_frames\mixed_00076.jpg,Mixed,79.22,17.26
data\synthetic_frames\good_00077.jpg,Good,131.96,28.59
data\synthetic_frames\poor_00077.jpg,Poor,33.79,7.43
data\synthetic_frames\mixed_00077.jpg,Mixed,69.88,14.99
data\synthetic_frames\good_00078.jpg,Good,124.84,33.17
data\synthetic_frames\poor_00078.jpg,Poor,25.92,17.77
data\synthetic_frames\mixed_00078.jpg,Mixed,65.83,17.58
data\synthetic_frames\good_00079.jpg,Good,126.28,32.98
data\synthetic_frames\poor_00079.jpg,Poor,33.03,8.78
data\synthetic_frames\mixed_00079.jpg,Mixed,70.88,18.82
data\synthetic_frames\good_00080.jpg,Good,125.69,33.09
data\synthetic_frames\poor_00080.jpg,Poor,16.43,13.08
data\synthetic_frames\mixed_00080.jpg,Mixed,63.37,16.66
data\synthetic_frames\good_00081.jpg,Good,126.08,33.25
data\synthetic_frames\poor_00081.jpg,Poor,23.61,14.78
data\synthetic_frames\mixed_00081.jpg,Mixed,67.28,18.03
data\synthetic_frames\good_00082.jpg,Good,126.31,33.21
data\synthetic_frames\poor_00082.jpg,Poor,36.25,9.64
data\synthetic_frames\mixed_00082.jpg,Mixed,76.04,20.27
data\synthetic_frames\good_00083.jpg,Good,126.07,33.19
data\synthetic_frames\poor_00083.jpg,Poor,22.71,6.11
data\synthetic_frames\mixed_00083.jpg,Mixed,81.12,21.28
data\synthetic_frames\good_00084.jpg,Good,126.18,33.21
data\synthetic_frames\poor_00084.jpg,Poor,28.76,7.7
data\synthetic_frames\mixed_00084.jpg,Mixed,79.38,21.19
data\synthetic_frames\good_00085.jpg,Good,126.25,33.21
data\synthetic_frames\poor_00085.jpg,Poor,32.02,8.57
data\synthetic_frames\mixed_00085.jpg,Mixed,60.95,16.0
data\synthetic_frames\good_00086.jpg,Good,126.8,33.22
data\synthetic_frames\poor_00086.jpg,Poor,17.24,12.96
data\synthetic_frames\mixed_00086.jpg,Mixed,87.94,23.38
data\synthetic_frames\good_00087.jpg,Good,127.01,33.19
data\synthetic_frames\poor_00087.jpg,Poor,28.34,7.54
data\synthetic_frames\mixed_00087.jpg,Mixed,71.23,18.54
data\synthetic_frames\good_00088.jpg,Good,127.19,33.33
data\synthetic_frames\poor_00088.jpg,Poor,42.29,11.2
data\synthetic_frames\mixed_00088.jpg,Mixed,78.6,20.72
data\synthetic_frames\good_00089.jpg,Good,127.05,33.4
data\synthetic_frames\poor_00089.jpg,Poor,30.67,8.19
data\synthetic_frames\mixed_00089.jpg,Mixed,68.48,18.28
data\synthetic_frames\good_00090.jpg,Good,126.97,33.44
data\synthetic_frames\poor_00090.jpg,Poor,34.22,9.17
data\synthetic_frames\mixed_00090.jpg,Mixed,83.3,22.08
data\synthetic_frames\good_00091.jpg,Good,127.04,33.39
data\synthetic_frames\poor_00091.jpg,Poor,33.24,8.89
data\synthetic_frames\mixed_00091.jpg,Mixed,81.05,21.41
data\synthetic_frames\good_00092.jpg,Good,126.97,33.41
data\synthetic_frames\poor_00092.jpg,Poor,28.06,7.51
data\synthetic_frames\mixed_00092.jpg,Mixed,58.17,15.4
data\synthetic_frames\good_00093.jpg,Good,126.94,33.43
data\synthetic_frames\poor_00093.jpg,Poor,24.2,17.55
data\synthetic_frames\mixed_00093.jpg,Mixed,75.6,19.84
data\synthetic_frames\good_00094.jpg,Good,127.1,33.4
data\synthetic_frames\poor_00094.jpg,Poor,20.55,5.57
data\synthetic_frames\mixed_00094.jpg,Mixed,58.7,15.66
data\synthetic_frames\good_00095.jpg,Good,127.11,33.4
data\synthetic_frames\poor_00095.jpg,Poor,30.22,8.07
data\synthetic_frames\mixed_00095.jpg,Mixed,90.08,23.98
data\synthetic_frames\good_00096.jpg,Good,127.06,33.44
data\synthetic_frames\poor_00096.jpg,Poor,11.73,8.88
data\synthetic_frames\mixed_00096.jpg,Mixed,86.3,22.8
data\synthetic_frames\good_00097.jpg,Good,127.15,33.46
data\synthetic_frames\poor_00097.jpg,Poor,32.74,8.77
data\synthetic_frames\mixed_00097.jpg,Mixed,80.3,21.06
data\synthetic_frames\good_00098.jpg,Good,127.19,33.46
data\synthetic_frames\poor_00098.jpg,Poor,16.06,11.56
data\synthetic_frames\mixed_00098.jpg,Mixed,77.73,20.74
data\synthetic_frames\good_00099.jpg,Good,127.19,33.48
data\synthetic_frames\poor_00099.jpg,Poor,24.31,6.58
data\synthetic_frames\mixed_00099.jpg,Mixed,77.08,20.22
data\synthetic_frames\good_00100.jpg,Good,127.22,33.49
data\synthetic_frames\poor_00100.jpg,Poor,30.51,8.16
data\synthetic_frames\mixed_00100.jpg,Mixed,81.97,21.87
data\synthetic_frames\good_00101.jpg,Good,127.36,33.5
data\synthetic_frames\poor_00101.jpg,Poor,38.96,10.38
data\synthetic_frames\mixed_00101.jpg,Mixed,82.25,21.73
data\synthetic_frames\good_00102.jpg,Good,127.32,33.51
data\synthetic_frames\poor_00102.jpg,Poor,35.8,9.56
data\synthetic_frames\mixed_00102.jpg,Mixed,80.74,21.53
data\synthetic_frames\good_00103.jpg,Good,127.19,33.56
data\synthetic_frames\poor_00103.jpg,Poor,20.56,5.6
data\synthetic_frames\mixed_00103.jpg,Mixed,81.63,21.64
data\synthetic_frames\good_00104.jpg,Good,127.09,33.65
data\synthetic_frames\poor_00104.jpg,Poor,24.62,16.21
data\synthetic_frames\mixed_00104.jpg,Mixed,88.44,23.73
data\synthetic_frames\good_00105.jpg,Good,126.74,33.85
data\synthetic_frames\poor_00105.jpg,Poor,24.2,17.75
data\synthetic_frames\mixed_00105.jpg,Mixed,85.15,22.84
data\synthetic_frames\good_00106.jpg,Good,126.24,34.07
data\synthetic_frames\poor_00106.jpg,Poor,39.66,10.84
data\synthetic_frames\mixed_00106.jpg,Mixed,88.88,24.26
data\synthetic_frames\good_00107.jpg,Good,126.23,34.11
data\synthetic_frames\poor_00107.jpg,Poor,34.16,9.38
data\synthetic_frames\mixed_00107.jpg,Mixed,82.99,22.69
data\synthetic_frames\good_00108.jpg,Good,126.28,34.13
data\synthetic_frames\poor_00108.jpg,Poor,24.72,6.9
data\synthetic_frames\mixed_00108.jpg,Mixed,67.08,18.1
data\synthetic_frames\good_00109.jpg,Good,126.54,33.98
data\synthetic_frames\poor_00109.jpg,Poor,36.86,10.02
data\synthetic_frames\mixed_00109.jpg,Mixed,79.24,21.54
data\synthetic_frames\good_00110.jpg,Good,126.62,33.94
data\synthetic_frames\poor_00110.jpg,Poor,41.54,11.31
data\synthetic_frames\mixed_00110.jpg,Mixed,61.05,16.46
data\synthetic_frames\good_00111.jpg,Good,126.79,33.94
data\synthetic_frames\poor_00111.jpg,Poor,23.18,6.35
data\synthetic_frames\mixed_00111.jpg,Mixed,64.32,17.29
data\synthetic_frames\good_00112.jpg,Good,126.89,33.93
data\synthetic_frames\poor_00112.jpg,Poor,12.22,10.97
data\synthetic_frames\mixed_00112.jpg,Mixed,72.34,19.31
data\synthetic_frames\good_00113.jpg,Good,126.92,33.9
data\synthetic_frames\poor_00113.jpg,Poor,23.25,6.35
data\synthetic_frames\mixed_00113.jpg,Mixed,83.96,22.33
data\synthetic_frames\good_00114.jpg,Good,127.08,33.88
data\synthetic_frames\poor_00114.jpg,Poor,23.5,6.4
data\synthetic_frames\mixed_00114.jpg,Mixed,76.63,20.38
data\synthetic_frames\good_00115.jpg,Good,127.18,33.85
data\synthetic_frames\poor_00115.jpg,Poor,41.72,11.28
data\synthetic_frames\mixed_00115.jpg,Mixed,81.2,21.72
data\synthetic_frames\good_00116.jpg,Good,127.14,33.88
data\synthetic_frames\poor_00116.jpg,Poor,35.16,9.51
data\synthetic_frames\mixed_00116.jpg,Mixed,67.59,18.26
data\synthetic_frames\good_00117.jpg,Good,127.19,33.86
data\synthetic_frames\poor_00117.jpg,Poor,38.3,10.33
data\synthetic_frames\mixed_00117.jpg,Mixed,76.6,20.48
data\synthetic_frames\good_00118.jpg,Good,127.38,33.83
data\synthetic_frames\poor_00118.jpg,Poor,43.72,11.76
data\synthetic_frames\mixed_00118.jpg,Mixed,71.29,19.19
data\synthetic_frames\good_00119.jpg,Good,127.41,33.84
data\synthetic_frames\poor_00119.jpg,Poor,41.8,11.27
data\synthetic_frames\mixed_00119.jpg,Mixed,85.56,23.02
data\synthetic_frames\good_00120.jpg,Good,127.34,33.84
data\synthetic_frames\poor_00120.jpg,Poor,23.65,22.25
data\synthetic_frames\mixed_00120.jpg,Mixed,90.41,24.34
data\synthetic_frames\good_00121.jpg,Good,127.49,33.82
data\synthetic_frames\poor_00121.jpg,Poor,28.64,7.73
data\synthetic_frames\mixed_00121.jpg,Mixed,80.25,21.22
data\synthetic_frames\good_00122.jpg,Good,127.48,33.84
data\synthetic_frames\poor_00122.jpg,Poor,23.89,6.51
data\synthetic_frames\mixed_00122.jpg,Mixed,85.41,22.96
data\synthetic_frames\good_00123.jpg,Good,127.38,33.84
data\synthetic_frames\poor_00123.jpg,Poor,21.42,5.82
data\synthetic_frames\mixed_00123.jpg,Mixed,80.63,21.71
data\synthetic_frames\good_00124.jpg,Good,127.38,33.83
data\synthetic_frames\poor_00124.jpg,Poor,40.62,10.91
data\synthetic_frames\mixed_00124.jpg,Mixed,82.19,21.93
data\synthetic_frames\good_00125.jpg,Good,127.43,33.83
data\synthetic_frames\poor_00125.jpg,Poor,21.35,19.44
data\synthetic_frames\mixed_00125.jpg,Mixed,58.23,15.55
data\synthetic_frames\good_00126.jpg,Good,127.29,33.86
data\synthetic_frames\poor_00126.jpg,Poor,32.93,8.93
data\synthetic_frames\mixed_00126.jpg,Mixed,69.32,18.54
data\synthetic_frames\good_00127.jpg,Good,127.22,33.91
data\synthetic_frames\poor_00127.jpg,Poor,44.06,11.88
data\synthetic_frames\mixed_00127.jpg,Mixed,70.67,18.93
data\synthetic_frames\good_00128.jpg,Good,127.27,33.91
data\synthetic_frames\poor_00128.jpg,Poor,15.59,13.98
data\synthetic_frames\mixed_00128.jpg,Mixed,82.54,22.08
data\synthetic_frames\good_00129.jpg,Good,127.19,33.92
data\synthetic_frames\poor_00129.jpg,Poor,20.37,15.99
data\synthetic_frames\mixed_00129.jpg,Mixed,84.77,22.9
data\synthetic_frames\good_00130.jpg,Good,127.22,33.91
data\synthetic_frames\poor_00130.jpg,Poor,25.68,7.02
data\synthetic_frames\mixed_00130.jpg,Mixed,57.28,15.37
data\synthetic_frames\good_00131.jpg,Good,127.32,33.85
data\synthetic_frames\poor_00131.jpg,Poor,26.41,7.17
data\synthetic_frames\mixed_00131.jpg,Mixed,59.4,15.76
data\synthetic_frames\good_00132.jpg,Good,127.34,33.83
data\synthetic_frames\poor_00132.jpg,Poor,23.46,6.38
data\synthetic_frames\mixed_00132.jpg,Mixed,68.76,18.22
data\synthetic_frames\good_00133.jpg,Good,127.24,33.89
data\synthetic_frames\poor_00133.jpg,Poor,15.36,11.76
data\synthetic_frames\mixed_00133.jpg,Mixed,79.56,21.46
data\synthetic_frames\good_00134.jpg,Good,127.31,33.87
data\synthetic_frames\poor_00134.jpg,Poor,37.22,10.03
data\synthetic_frames\mixed_00134.jpg,Mixed,79.42,21.07
data\synthetic_frames\good_00135.jpg,Good,127.34,33.86
data\synthetic_frames\poor_00135.jpg,Poor,42.56,11.45
data\synthetic_frames\mixed_00135.jpg,Mixed,69.4,18.72
data\synthetic_frames\good_00136.jpg,Good,127.22,33.91
data\synthetic_frames\poor_00136.jpg,Poor,21.09,5.76
data\synthetic_frames\mixed_00136.jpg,Mixed,69.43,18.46
data\synthetic_frames\good_00137.jpg,Good,127.36,33.9
data\synthetic_frames\poor_00137.jpg,Poor,14.55,9.61
data\synthetic_frames\mixed_00137.jpg,Mixed,81.58,21.98
data\synthetic_frames\good_00138.jpg,Good,127.31,33.89
data\synthetic_frames\poor_00138.jpg,Poor,14.88,14.25
data\synthetic_frames\mixed_00138.jpg,Mixed,77.51,20.89
data\synthetic_frames\good_00139.jpg,Good,127.22,33.92
data\synthetic_frames\poor_00139.jpg,Poor,25.07,19.54
data\synthetic_frames\mixed_00139.jpg,Mixed,68.26,18.29
data\synthetic_frames\good_00140.jpg,Good,127.19,33.97
data\synthetic_frames\poor_00140.jpg,Poor,22.06,15.23
data\synthetic_frames\mixed_00140.jpg,Mixed,87.64,23.68
data\synthetic_frames\good_00141.jpg,Good,127.2,33.96
data\synthetic_frames\poor_00141.jpg,Poor,25.24,15.41
data\synthetic_frames\mixed_00141.jpg,Mixed,60.77,16.47
data\synthetic_frames\good_00142.jpg,Good,127.13,34.01
data\synthetic_frames\poor_00142.jpg,Poor,28.75,7.82
data\synthetic_frames\mixed_00142.jpg,Mixed,88.26,23.9
data\synthetic_frames\good_00143.jpg,Good,127.08,34.04
data\synthetic_frames\poor_00143.jpg,Poor,38.99,10.58
data\synthetic_frames\mixed_00143.jpg,Mixed,89.36,24.22
data\synthetic_frames\good_00144.jpg,Good,127.16,34.02
data\synthetic_frames\poor_00144.jpg,Poor,10.17,9.54
data\synthetic_frames\mixed_00144.jpg,Mixed,81.65,21.94
data\synthetic_frames\good_00145.jpg,Good,127.13,34.06
